Key,English

goGameWorld,[FF4F00]Select 'Destroyer  (biome)'[-]
goLootRespawnDays,Loot Respawn-[FF4F00]Select 7 Days '[-]

adminQuestTicketDesc,"Read, accept, and complete to receive next quest.\n\nUsed for quest progression."

resourcePaper,"Classified Document" 
resourcePaperDesc,"EAM\n FROM: USLANTFLT\n TO: USS Arleigh Burke\n MESSAGE AS FOLLOWS:\n Movement to G.S. ATL-001 to acquire TP for bunghole (and other ""supplies"")"

resourceCoalDesc,"A great fuel source and a core ingredient for gunpowder.\n\nCan be made from wood in a campfire"
resourceAcidDesc,A resource used in crafting recipes.\n\nCan be crafted in beaker at a campfire or at the chemistry station.

resourceBatteryAcid,Bottle of Acid
resourceBatteryAcidDesc,A resource used in crafting recipes.\n\nCan be extracted from a car battery at the chemistry station.

resourceAnimalFat,"Fat"
resourceAnimalFatDesc,"Fat can be eaten raw or used in cooking or other crafting recipes."

drugAntibioticsDT,Antibiotics
drugAntibioticsDTDesc,Antibiotics can cure infections.\n\nCan be crafted in a beaker at a campfire or at the chemistry station.

perkGreaseMonkeyRank1Desc,Wheely good
perkGreaseMonkeyRank1LongDesc,Congratulations - you are now as smart as a primitive human!\n\nCraft wheels 33% cheaper.\n\nRepair kits are 10 percent more effective on vehicles.

perkGreaseMonkeyRank2Desc,Oil be back
perkGreaseMonkeyRank2LongDesc,"Not quite a fully-fledged grease monkey, but at least it's a start.\n\nRepair kits are 20 percent more effective on vehicles."

perkGreaseMonkeyRank3Desc,Life's a gas
perkGreaseMonkeyRank3LongDesc,Now you're starting to know your way around a toolbox!\n\nRepair kits are 30 percent more effective on vehicles.

perkGreaseMonkeyRank4Desc,Not very basic
perkGreaseMonkeyRank4LongDesc,"Your mechanical prowess is that of a professional pit crew!\n\nRepair kits are 40 percent more effective on vehicles."

perkGreaseMonkeyRank5Desc,At last!!
perkGreaseMonkeyRank5LongDesc,"You're a full-on aeronautical MacGyver.\nCraft AH-64 parts 33% cheaper.\n\nRepair kits are 50 percent more effective on vehicles."

vehiclesT1,Tier 1: Wheels
vehiclesT2,Tier 2: Oil
vehiclesT3,Tier 3: Gas Cans
vehiclesT4,Tier 4: Acid
vehiclesT5,Tier 5: Flight

cntBarrelPlasticQuadA,Oil Barrel
cntBarrelPlasticQuadB,Oil Barrel
cntBarrelPlasticSingle00,Oil Barrel
cntBarrelPlasticSingle45,Oil Barrel

ApacheS4,Starter Helicopter
ApacheS3,Canopy
ApacheS2,Cockpit
ApacheS1,Accessories
Apache,Chassis

AH-64ApacheHelicopterDesc,Used to create your own AH-64 Apache.
AH-64ApacheHelicopter2Desc,Do not place this item until all parts are crafted for the challenge.

meleeToolSalvageT3ImpactDriverAC,Apache Impact Driver

meleeWpnBladeT1HuntingKnife,Devil's Blade
gunBowT0PrimitiveBow,Techie's Silent Sentinel
gunHandgunT1Pistol,Angelacus' Water Pistol

DishongLootContainerUtilityWorkerLoot,Duffle Bag
DishongLootContainerBusinessManLoot,Duffle Bag
DishongLootContainerPartyGirlLoot,Duffle Bag
DishongLootContainerWightFeralLoot,Duffle Bag
DishongLootContainerFatCopLoot,Duffle Bag
DishongLootContainerZombieMutatedLoot,Duffle Bag
DishongLootContainerJanitorLoot,Duffle Bag
DishongLootContainerSkateboarderLoot,Duffle Bag
DishongLootContainerSoldierLoot,Duffle Bag
DishongLootContainerZombieFemaleLoot,Duffle Bag
DishongLootContainerSteveAndTomLoot,Duffle Bag
DishongLootContainerZombieMaleLoot,Duffle Bag
DishongLootContainerFatZombieLoot,Duffle Bag
DishongLootContainerNurseLoot,Duffle Bag
DishongLootContainerLabWorkerLoot,Duffle Bag
DishongLootContainerMaleHazmatLoot,Duffle Bag
DishongLootContainerLumberjackLoot,Duffle Bag
DishongLootContainerBikerLoot,Duffle Bag
DishongLootContainerRadUtilityWorkerLoot,Duffle Bag
DishongLootContainerRadBusinessManLoot,Duffle Bag
DishongLootContainerRadPartyGirlLoot,Duffle Bag
DishongLootContainerRadWightFeralLoot,Duffle Bag
DishongLootContainerRadFatCopLoot,Duffle Bag
DishongLootContainerRadZombieMutatedLoot,Duffle Bag
DishongLootContainerRadJanitorLoot,Duffle Bag
DishongLootContainerRadSkateboarderLoot,Duffle Bag
DishongLootContainerRadSoldierLoot,Duffle Bag
DishongLootContainerRadZombieFemaleLoot,Duffle Bag
DishongLootContainerRadSteveAndTomLoot,Duffle Bag
DishongLootContainerRadZombieMaleLoot,Duffle Bag
DishongLootContainerRadFatZombieLoot,Duffle Bag
DishongLootContainerRadNurseLoot,Duffle Bag
DishongLootContainerRadLabWorkerLoot,Duffle Bag

harvestingToolsSkillMagazineDT,Tools Digest
repairToolsSkillMagazineDT,Handy Land
salvageToolsSkillMagazineDT,Scrapping 4 Fun
vehiclesSkillMagazineDT,Vehicle Adventures
workstationSkillMagazineDT,Forge Ahead
armorSkillMagazineDT,Armored Up
electricianSkillMagazineDT,Wiring 101
trapsSkillMagazineDT,Electrical Traps
foodSkillMagazineDT,Home Cooking Weekly
bowsSkillMagazineDT,Bow Hunters
handgunsSkillMagazineDT,Handgun Magazine
machineGunsSkillMagazineDT,Tactical Warfare
riflesSkillMagazineDT,Rifle World
shotgunsSkillMagazineDT,Shotgun Weekly
medicalSkillMagazineDT,Medical Journal
bladesSkillMagazineDT,Knife Guy
clubsSkillMagazineDT,Big Hitters
knucklesSkillMagazineDT,Furious Fists
sledgehammersSkillMagazineDT,Get Hammered
spearsSkillMagazineDT,Sharp Sticks
roboticsSkillMagazineDT,Tech Planet
explosivesSkillMagazineDT,Explosive Magazine

npcTraderJen, Dawnrox
npcTraderJoel, Shadow_Floodlight

zombieBiker,Raziel_MacCloud
zombieBikerFeral,Feral Raziel_MacCloud
zombieBikerRadiated,Radiated Raziel_MacCloud

zombieBoe,w00kie n00kie
zombieBoeFeral,Feral w00kie n00kie
zombieBoeRadiated,Radiated w00kie n00kie

zombieBurnt,FlameWizo
zombieBurntFeral,Feral FlameWizo
zombieBurntRadiated,Radiated Smokey_Prime

zombieDarlene,AnneikaTheJammyBrit
zombieDarleneFeral,Feral AnneikaTheJammyBrit
zombieDarleneRadiated,Radiated AnneikaTheJammyBrit

zombieJanitor,HellsJanitor
zombieJanitorFeral,Feral HellsJanitor
zombieJanitorRadiated,Radiated HellsJanitor

zombieLab,CharmCuddler
zombieLabFeral,Feral CharmCuddler
zombieLabRadiated,Radiated CharmCuddler

zombieLumberjack,Zenn5150
zombieLumberjackFeral,Feral Zenn5150
zombieLumberjackRadiated,Radiated Zenn5150

zombieMaleHazmat,Riven
zombieMaleHazmatFeral,Feral Riven
zombieMaleHazmatRadiated,Radiated Riven

zombieMarlene,Joutre_
zombieMarleneFeral,Feral Joutre_
zombieMarleneRadiated,Radiated Joutre_

zombieMoe,Angelacus
zombieMoeFeral,Feral Angelacus
zombieMoeRadiated,Radiated Angelacus

zombieNurse,KatsPurr
zombieNurseFeral,Feral Katspurr
zombieNurseRadiated,Radiated KatsPurr

zombieYo,Sarcoth
zombieYoFeral,Feral Sarcoth
zombieYoRadiated,Radiated Sarcoth

zombieTomClark,Devilskut
zombieTomClarkRadiated,Radiated Devilskut
zombieTomClarkFeral,Feral Devilskut

zombiePartyGirl,Kimmytot1313
zombiePartyGirlFeral,Feral Kimmytot1313
zombiePartyGirlRadiated,Radiated Kimmytot1313

zombieBusinessMan,LobitoGamingTV
zombieBusinessManFeral,Feral LobitoGamingTV
zombieBusinessManRadiated,Radiated LobitoGamingTV

zombieSoldier,Techie
zombieSoldierFeral,Feral Techie
zombieSoldierRadiated,Radiated Techie

zombieJoe,Cran5000
zombieJoeFeral,Feral Cran5000
zombieJoeRadiated,Radiated Cran5000

zombieSteve,Frantic_Dan
zombieSteveFeral,Feral Frantic_Dan
zombieSteveRadiated,Radiated Frantic_Dan

zombieSteveCrawler,PitchieB
zombieSteveCrawlerFeral,Feral PitchieB

animalBossGrace,SpeedyPig69

animalhostilechicken,RoadRunner

animalWolf,Korbulas
animalDireWolf,Raging Korbulas

animalRabbit,Killer Bunny
animalZombieBear,Reclining Gamer

animalZombieVulture,Phancy
animalZombieVultureRadiated,Spicy Dragonfly

zombieWightFeral,Feral DeathAngel
zombieWightRadiated,Radiated DeathAngel

animalSnake,Viper 7
animalSnakeRadiated,Spicy Viper 7

animalMountainLion,KatPop

animalBear,angeleyes_1971

animalBearSmall,Baby angeleyes_1971

zombieUtilityWorker,Seamen
zombieUtilityWorkerFeral,Private Willie
zombieUtilityWorkerRadiated,Major Johnson

zombieArlene,JynxdGinger79
zombieArleneFeral,Feral JynxdGinger79
zombieArleneRadiated,Radiated JynxdGinger79

zombieSpider,NuttyMonkey15
zombieSpiderFeral,Feral NuttyMonkey15
zombieSpiderRadiation,Radiated NuttyMonkey15

zombieScreamer,MoonLuna
zombieScreamerFeral,Feral MoonLuna
zombieScreamerRadiated,Radiated MoonLuna

zombieSkateboarder,TylerGMS
zombieSkateboarderFeral,Feral TylerGMS
zombieSkateboarderRadiated,Radiated TylerGMS

zombieFatHawaiian,Shrader
zombieFatHawaiianFeral,Feral Shrader
zombieFatHawaiianRadiated,Radiated Shrader

zombieFemaleFat,GizmosGifts
zombieFemaleFatFeral,Feral GizmosGifts
zombieFemaleFatRadiated,Radiated GizmosGifts

zombieMutated,HamandLiz
zombieMutatedFeral,HamandLiz Feral
zombieMutatedRadiated,HamandLiz Radiated

loadingTipAircraft1_title,Seeds asshole
loadingTipAircraft1,"All seed crafting is unlocked by default, and some seeds only require a couple of food items to make. There are NO useable farm plots ion the DOCKS or ships ..."

loadingTipAircraft2_title,Zombie Loot
loadingTipAircraft2,"Almost every zombie will drop a loot bag once dead, and specific zombies will have a chance to drop specific loot also, not all bags have loot."

loadingTipAircraft3_title,Questing for Skill Magazines
loadingTipAircraft3,"Skill magazines can be found in their usual places, and certain zombies also have a chance to give certain magazines in their loot bag."

loadingTipAircraft4_title,Looting
loadingTipAircraft4,"Loot is an integral part to completing this challenge. Loot will NOT restock."

loadingTipAircraft5_title,Zombie respawns
loadingTipAircraft5,"Zombies can now be set to respawn after a time you decide. Check the 'Destroyer' tab on the main menu, and set the number of days (7) recommended, you want between zombies respawning on the ship."

loadingTipAircraft6_title,Resources
